LLM,llm_key,Dimension,MPNet_R2,MiniLM_R2,R2_Improvement,MPNet_RMSE,MiniLM_RMSE,Sparsity_%
Llama-3.1-8B,llama,openness,-0.000709424482597365,,,0.11305690751966121,,100.0
Llama-3.1-8B,llama,conscientiousness,-0.002016612323368694,,,0.17343077876664556,,95.96354166666666
Llama-3.1-8B,llama,extraversion,-0.0006320117112914581,,,0.1299268128163643,,100.0
Llama-3.1-8B,llama,agreeableness,-1.2632050855554411e-05,,,0.1650747328136673,,100.0
Llama-3.1-8B,llama,neuroticism,-0.03182788372675338,,,0.2098849986710689,,100.0
GPT-OSS-120B,gpt,openness,-0.01930350935103964,,,0.13007274692647314,,100.0
GPT-OSS-120B,gpt,conscientiousness,-0.0050438538394919075,,,0.09422497729163307,,100.0
GPT-OSS-120B,gpt,extraversion,-0.001971444976633041,,,0.10088516007852293,,100.0
GPT-OSS-120B,gpt,agreeableness,-0.014337928223087548,,,0.13730966965429253,,100.0
GPT-OSS-120B,gpt,neuroticism,-0.030784122665397984,,,0.17446484782563398,,100.0
Gemma-2-9B,gemma,openness,-0.02130645587561686,,,0.05365689982763972,,100.0
Gemma-2-9B,gemma,conscientiousness,-0.00011088477870058178,,,0.08309943219827517,,100.0
Gemma-2-9B,gemma,extraversion,-0.01902588607695299,,,0.07318469824505985,,100.0
Gemma-2-9B,gemma,agreeableness,-0.07796887975834332,,,0.11799595777381004,,97.13541666666666
Gemma-2-9B,gemma,neuroticism,-0.01049419953034647,,,0.1668172645767404,,100.0
DeepSeek-V3.1,deepseek,openness,-0.00043361847610001725,,,0.10807433782220674,,100.0
DeepSeek-V3.1,deepseek,conscientiousness,-0.005633272997699779,,,0.08684612569068786,,100.0
DeepSeek-V3.1,deepseek,extraversion,-0.033749918422446346,,,0.07670117851599244,,98.95833333333334
DeepSeek-V3.1,deepseek,agreeableness,-0.005580392667149381,,,0.15437373392458564,,100.0
DeepSeek-V3.1,deepseek,neuroticism,-0.0006260801671020833,,,0.19988996975124226,,100.0
Qwen-2.5-72B,qwen,openness,-3.0318173362964274e-06,,,0.07250608636087245,,100.0
Qwen-2.5-72B,qwen,conscientiousness,-8.74300567104136e-05,,,0.135040579352612,,100.0
Qwen-2.5-72B,qwen,extraversion,-0.07815941040806962,,,0.06705972033164363,,100.0
Qwen-2.5-72B,qwen,agreeableness,-0.00020394755735719805,,,0.09726328973306261,,100.0
Qwen-2.5-72B,qwen,neuroticism,-0.0007291193040015465,,,0.1496859269976841,,100.0
