LLM,llm_key,Dimension,ElasticNet_R2,Ridge_R2,R2_Improvement,ElasticNet_RMSE,Ridge_RMSE,Sparsity_%
Llama-3.1-8B,llama,openness,0.11320055850078425,-1.4105335551398404,1.5237341136406246,0.10642797830303585,0.1754687157919579,95.3125
Llama-3.1-8B,llama,conscientiousness,0.21778362357393044,-0.5502116163796005,0.7679952399535309,0.153232950999309,0.2157169180245227,93.75
Llama-3.1-8B,llama,extraversion,0.020910412161753156,-2.2622695162877577,2.2831799284495107,0.1285206178938435,0.2345964888227544,97.75390625
Llama-3.1-8B,llama,agreeableness,0.16810879739836393,-1.5331605527911818,1.7012693501895457,0.15056052685156207,0.2627297292221066,94.7265625
Llama-3.1-8B,llama,neuroticism,0.1148345090060926,-0.91490621438138,1.0297407233874725,0.19439720035198732,0.2859246006702633,92.28515625
GPT-OSS-120B,gpt,openness,0.2706176730651175,-0.30170740152490705,0.5723250745900246,0.11003026786958175,0.14699116749412255,92.48046875
GPT-OSS-120B,gpt,conscientiousness,0.11888972094501205,-0.5365504862219772,0.6554402071669893,0.08822439102659288,0.11650564072045114,90.234375
GPT-OSS-120B,gpt,extraversion,0.15014798753064384,-0.6357807657705739,0.7859287533012177,0.09291188445909976,0.1289027443646437,93.45703125
GPT-OSS-120B,gpt,agreeableness,0.2850248892290933,-0.5867279588449132,0.8717528480740065,0.11528034079125365,0.1717358749107253,88.57421875
GPT-OSS-120B,gpt,neuroticism,0.18162140949345906,-1.0396185403882887,1.2212399498817477,0.15545375088406205,0.24541355768250486,90.91796875
Gemma-2-9B,gemma,openness,0.0566610371970514,-1.8320270328996617,1.888688070096713,0.05156813489104984,0.08935034530288144,90.52734375
Gemma-2-9B,gemma,conscientiousness,0.25451343326197706,-1.0949552896581967,1.3494687229201738,0.07174537177884273,0.12027112095705864,93.5546875
Gemma-2-9B,gemma,extraversion,0.1423525334400314,-1.4994519121835652,1.6418044456235967,0.06714011531297215,0.11461727291484833,94.43359375
Gemma-2-9B,gemma,agreeableness,0.4448737491985366,-0.41665775825424367,0.8615315074527803,0.08467591543852183,0.13526844275592076,93.06640625
Gemma-2-9B,gemma,neuroticism,0.2862630686096096,-0.5518947963199117,0.8381578649295213,0.14019843563164305,0.20673081723790976,92.7734375
DeepSeek-V3.1,deepseek,openness,0.10281256588753573,-0.3792271855333096,0.4820397514208453,0.1023458025190238,0.12689553731751715,95.1171875
DeepSeek-V3.1,deepseek,conscientiousness,0.04501823515118819,-2.1711384003004883,2.2161566354516764,0.08463074640085655,0.15421912333512236,95.80078125
DeepSeek-V3.1,deepseek,extraversion,0.03892397823269378,-1.279941901863808,1.3188658800965019,0.0739559574333112,0.11390851313008579,96.19140625
DeepSeek-V3.1,deepseek,agreeableness,0.32203970092506917,-0.37549831992755256,0.6975380208526217,0.12675559604126668,0.18054898139829828,89.55078125
DeepSeek-V3.1,deepseek,neuroticism,0.3884737002531661,-0.5190774343844622,0.9075511346376283,0.15626534060754108,0.2462890193094405,90.52734375
Qwen-2.5-72B,qwen,openness,0.2234557491631184,-0.7536524140826297,0.9771081632457481,0.06389353400638241,0.09601643220354207,92.87109375
Qwen-2.5-72B,qwen,conscientiousness,0.45149036155603317,-0.2401474399834569,0.6916378015394901,0.10000862121520802,0.1503771912107328,93.75
Qwen-2.5-72B,qwen,extraversion,-0.3465074940715416,-3.0044579835260894,2.6579504894545476,0.07494188910034794,0.12923856273575993,90.91796875
Qwen-2.5-72B,qwen,agreeableness,0.19381596651068678,-0.47530366468531526,0.669119631196002,0.08732161690875381,0.11812596872374267,94.921875
Qwen-2.5-72B,qwen,neuroticism,0.46686756198394663,-0.8117680542106129,1.2786356161945596,0.10925473211707935,0.20140674074728662,91.015625
